sep=,
,ScopeINITAL_START, ScopeDEAD_START, ScopeABORTED_START, ScopeTERMINATING_START, ScopeTERMINATED_START, ScopeEXECUTING_START, ScopeFAULT_START, ScopeFAULT_HANDLING_START, ScopeFAULT_CAUGHT_START, ScopeCOMPLETED_START, FlowINITAL_START, FlowDEAD_START, FlowABORTED_START, FlowTERMINATING_START, FlowTERMINATED_START, FlowEXECUTING_START, FlowFAULT_START, FlowCOMPLETED_START, StartINITAL_START, StartDEAD_START, StartABORTED_START, StartTERMINATING_START, StartTERMINATED_START, StartEXECUTING_START, StartFAULT_START, StartCOMPLETED_START, Scope1INITAL_START, Scope1DEAD_START, Scope1ABORTED_START, Scope1TERMINATING_START, Scope1TERMINATED_START, Scope1EXECUTING_START, Scope1FAULT_START, Scope1FAULT_HANDLING_START, Scope1FAULT_CAUGHT_START, Scope1COMPLETED_START, Stuff1INITAL_START, Stuff1DEAD_START, Stuff1ABORTED_START, Stuff1TERMINATING_START, Stuff1TERMINATED_START, Stuff1EXECUTING_START, Stuff1FAULT_START, Stuff1COMPLETED_START, Stuff2INITAL_START, Stuff2DEAD_START, Stuff2ABORTED_START, Stuff2TERMINATING_START, Stuff2TERMINATED_START, Stuff2EXECUTING_START, Stuff2FAULT_START, Stuff2COMPLETED_START, CriticalWorkINITAL_START, CriticalWorkDEAD_START, CriticalWorkABORTED_START, CriticalWorkTERMINATING_START, CriticalWorkTERMINATED_START, CriticalWorkEXECUTING_START, CriticalWorkFAULT_START, CriticalWorkCOMPLETED_START, INITAL_START, DEAD_START, ABORTED_START, TERMINATING_START, TERMINATED_START, EXECUTING_START, FAULT_START, COMPLETED_START, Scope2INITAL_START, Scope2DEAD_START, Scope2ABORTED_START, Scope2TERMINATING_START, Scope2TERMINATED_START, Scope2EXECUTING_START, Scope2FAULT_START, Scope2FAULT_HANDLING_START, Scope2FAULT_CAUGHT_START, Scope2COMPLETED_START, SafeCriticalWorkINITAL_START, SafeCriticalWorkDEAD_START, SafeCriticalWorkABORTED_START, SafeCriticalWorkTERMINATING_START, SafeCriticalWorkTERMINATED_START, SafeCriticalWorkEXECUTING_START, SafeCriticalWorkFAULT_START, SafeCriticalWorkCOMPLETED_START, 
ScopeINITAL_START, =, <, <, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeDEAD_START, >, =, ||, ||, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeABORTED_START, >, ||, =, ||, ||, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeTERMINATING_START, >, ||, ||, =, <, >, ||, > ||, > = || <, ||, >, ||, ||, = ||, || <, >, > ||, > = || <, >, ||, ||, > = || <, > = || <, >, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeTERMINATED_START, >, ||, ||, >, =, >, ||, > ||, > = || <, ||, >, ||, ||, > ||, = ||, >, > ||, > = || <, >, ||, ||, > = || <, > = || <, >, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeEXECUTING_START, >, ||, ||, <, <, =, <, <, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, <, <, <, <, <, >, ||, ||, <, <, <, <, <, >, ||, ||, <, <, <, <, <, >, ||, ||, <, <, <, <, <, >, ||, ||, <, <, <, <, <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeFAULT_START, >, ||, ||, ||, ||, >, =, >, ||, ||, >, ||, ||, ||, ||, >, >, ||, >, ||, ||, > ||, > = || <, >, > ||, > ||, >, ||, ||, > ||, > = || <, > ||, > ||, > ||, > = || <, > ||, >, ||, ||, > ||, > = || <, > ||, > ||, > ||, >, ||, ||, > ||, > = || <, > ||, > ||, > ||, >, ||, ||, > = || <, > = || <, > ||, > ||, > = || <, >, ||, ||, > = || <, > = || <, > ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeFAULT_HANDLING_START, >, ||, ||, < ||, < ||, >, <, =, <, || <, >, ||, ||, ||, ||, >, =, ||, >, ||, ||, = ||, || <, >, = ||, > ||, >, ||, ||, = ||, || <, > ||, = ||, > ||, > = || <, > ||, >, ||, ||, = ||, || <, > ||, = ||, > ||, >, ||, ||, = ||, || <, > ||, = ||, > ||, >, ||, ||, > = || <, > = || <, > ||, > ||, > = || <, >, ||, ||, > = || <, > = || <, > ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeFAULT_CAUGHT_START, >, ||, ||, < = || >, < = || >, >, ||, >, =, > = || <, >, ||, ||, ||, ||, >, >, ||, >, ||, ||, > ||, > = || <, >, > ||, > ||, >, ||, ||, > ||, > = || <, > ||, > ||, > ||, > = || <, > ||, >, ||, ||, > ||, > = || <, > ||, > ||, > ||, >, ||, ||, > ||, > = || <, > ||, > ||, > ||, >, ||, ||, > = || <, > = || <, > ||, > ||, > = || <, >, ||, ||, > = || <, > = || <, > ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
ScopeCOMPLETED_START, >, ||, ||, ||, ||, >, ||, || >, < = || >, =, >, ||, ||, > = || <, > = || <, >, > ||, = ||, >, ||, ||, > = || <, > = || <, >, > = || <, > ||, >, ||, ||, > = || <, > = || <, > ||, > = || <, > = || <, > = || <, > ||, >, ||, ||, > = || <, > = || <, > ||, > = || <, > = ||, >, ||, ||, > = || <, > = || <, > ||, > = || <, > = ||, >, ||, ||, > = || <, > = || <, > ||, > = || <, > = || <, >, ||, ||, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, > = || <, 
