sep=,
,FlowINITAL_START, FlowDEAD_START, FlowABORTED_START, FlowTERMINATING_START, FlowTERMINATED_START, FlowEXECUTING_START, FlowFAULT_START, FlowCOMPLETED_START, StartINITAL_START, StartDEAD_START, StartABORTED_START, StartTERMINATING_START, StartTERMINATED_START, StartEXECUTING_START, StartFAULT_START, StartCOMPLETED_START, CriticalWorkINITAL_START, CriticalWorkDEAD_START, CriticalWorkABORTED_START, CriticalWorkTERMINATING_START, CriticalWorkTERMINATED_START, CriticalWorkEXECUTING_START, CriticalWorkFAULT_START, CriticalWorkCOMPLETED_START, Stuff1INITAL_START, Stuff1DEAD_START, Stuff1ABORTED_START, Stuff1TERMINATING_START, Stuff1TERMINATED_START, Stuff1EXECUTING_START, Stuff1FAULT_START, Stuff1COMPLETED_START, Stuff2INITAL_START, Stuff2DEAD_START, Stuff2ABORTED_START, Stuff2TERMINATING_START, Stuff2TERMINATED_START, Stuff2EXECUTING_START, Stuff2FAULT_START, Stuff2COMPLETED_START, 
FlowINITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
FlowDEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
FlowABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
FlowTERMINATING_START, >, ||, ||, =, <, >, ||, ||, >, ||, ||, = ||, || <, >, > = || <, > ||, >, ||, ||, = ||, || <, > ||, > = || <, > ||, >, ||, ||, = ||, || <, > ||, > = || <, > ||, >, ||, ||, = ||, || <, > ||, > = || <, > ||, 
FlowTERMINATED_START, >, ||, ||, >, =, >, ||, ||, >, ||, ||, > ||, > = ||, >, > = || <, > ||, >, ||, ||, > ||, > = ||, > ||, > = || <, > ||, >, ||, ||, > ||, > = ||, > ||, > = || <, > ||, >, ||, ||, > ||, > = ||, > ||, > = || <, > ||, 
FlowEXECUTING_START, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, <, <, <, >, ||, ||, <, <, <, <, <, >, ||, ||, <, <, <, <, <, 
FlowFAULT_START, >, ||, ||, ||, ||, >, =, ||, >, ||, ||, = ||, || <, >, = ||, > ||, >, ||, ||, = ||, || <, > ||, = ||, > ||, >, ||, ||, = ||, || <, > ||, = ||, > ||, >, ||, ||, = ||, || <, > ||, = ||, > ||, 
FlowCOMPLETED_START, >, ||, ||, ||, ||, >, ||, =, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, ||, ||, >, ||, > =, 
StartINITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
StartDEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
StartABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
StartTERMINATING_START, >, ||, ||, = ||, < ||, >, = ||, ||, >, ||, ||, =, <, >, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, 
StartTERMINATED_START, >, ||, ||, || >, < = ||, >, || >, ||, >, ||, ||, >, =, >, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, 
StartEXECUTING_START, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, <, <, <, >, ||, ||, <, <, <, <, <, >, ||, ||, <, <, <, <, <, 
StartFAULT_START, >, ||, ||, < = || >, < = || >, >, = ||, ||, >, ||, ||, ||, ||, >, =, ||, >, ||, ||, ||, ||, ||, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, 
