sep=,
,ScopeINITAL_START, ScopeDEAD_START, ScopeABORTED_START, ScopeTERMINATING_START, ScopeTERMINATED_START, ScopeEXECUTING_START, ScopeFAULT_START, ScopeFAULT_HANDLING_START, ScopeFAULT_CAUGHT_START, ScopeCOMPLETED_START, EmptyINITAL_START, EmptyDEAD_START, EmptyABORTED_START, EmptyTERMINATING_START, EmptyTERMINATED_START, EmptyEXECUTING_START, EmptyFAULT_START, EmptyCOMPLETED_START, 
ScopeINITAL_START, =, <, <, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
ScopeDEAD_START, >, =, ||, ||, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
ScopeABORTED_START, >, ||, =, ||, ||, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
ScopeTERMINATING_START, >, ||, ||, =, <, >, ||, > ||, > = || <, ||, >, ||, ||, = ||, || <, >, > ||, > = || <, 
ScopeTERMINATED_START, >, ||, ||, >, =, >, ||, > ||, > = || <, ||, >, ||, ||, > ||, = ||, >, > ||, > = || <, 
ScopeEXECUTING_START, >, ||, ||, <, <, =, <, <, <, <, >, ||, ||, <, <, =, <, <, 
ScopeFAULT_START, >, ||, ||, ||, ||, >, =, >, ||, ||, >, ||, ||, ||, ||, >, >, ||, 
ScopeFAULT_HANDLING_START, >, ||, ||, < ||, < ||, >, <, =, <, || <, >, ||, ||, ||, ||, >, =, ||, 
ScopeFAULT_CAUGHT_START, >, ||, ||, < = || >, < = || >, >, ||, >, =, > = || <, >, ||, ||, ||, ||, >, >, ||, 
ScopeCOMPLETED_START, >, ||, ||, ||, ||, >, ||, || >, < = || >, =, >, ||, ||, > = || <, > = || <, >, > ||, = ||, 
EmptyINITAL_START, =, <, <, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
EmptyDEAD_START, >, =, ||, ||, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
EmptyABORTED_START, >, ||, =, ||, ||, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
EmptyTERMINATING_START, >, ||, ||, = ||, < ||, >, ||, ||, ||, < = || >, >, ||, ||, =, <, >, ||, ||, 
EmptyTERMINATED_START, >, ||, ||, || >, = ||, >, ||, ||, ||, < = || >, >, ||, ||, >, =, >, ||, ||, 
EmptyEXECUTING_START, >, ||, ||, <, <, =, <, <, <, <, >, ||, ||, <, <, =, <, <, 
EmptyFAULT_START, >, ||, ||, < ||, < ||, >, <, =, <, < ||, >, ||, ||, ||, ||, >, =, ||, 
EmptyCOMPLETED_START, >, ||, ||, < = || >, < = || >, >, ||, ||, ||, = ||, >, ||, ||, ||, ||, >, ||, =, 
