sep=,
,ScopeINITALSTART, ScopeINITALEND, ScopeDEADSTART, ScopeDEADEND, ScopeTERMINATEDSTART, ScopeTERMINATEDEND, ScopeEXECUTINGSTART, ScopeEXECUTINGEND, ScopeFAULT_HANDLINGSTART, ScopeFAULT_HANDLINGEND, ScopeFAULT_UNCOUGHTSTART, ScopeFAULT_UNCOUGHTEND, ScopeFAULTSTART, ScopeFAULTEND, ScopeCOMPLETEDSTART, ScopeCOMPLETEDEND, ScopeActivityINITALSTART, ScopeActivityINITALEND, ScopeActivityDEADSTART, ScopeActivityDEADEND, ScopeActivityTERMINATEDSTART, ScopeActivityTERMINATEDEND, ScopeActivityEXECUTINGSTART, ScopeActivityEXECUTINGEND, ScopeActivityFAULTSTART, ScopeActivityFAULTEND, ScopeActivityCOMPLETEDSTART, ScopeActivityCOMPLETEDEND, INITALSTART, INITALEND, DEADSTART, DEADEND, TERMINATEDSTART, TERMINATEDEND, EXECUTINGSTART, EXECUTINGEND, FAULTSTART, FAULTEND, COMPLETEDSTART, COMPLETEDEND, FHActivityINITALSTART, FHActivityINITALEND, FHActivityDEADSTART, FHActivityDEADEND, FHActivityTERMINATEDSTART, FHActivityTERMINATEDEND, FHActivityEXECUTINGSTART, FHActivityEXECUTINGEND, FHActivityFAULTSTART, FHActivityFAULTEND, FHActivityCOMPLETEDSTART, FHActivityCOMPLETEDEND, 
ScopeINITALSTART, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeINITALEND, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeDEADSTART, UNRELATED, UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeDEADEND, UNRELATED, UNRELATED, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeTERMINATEDSTART, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeTERMINATEDEND, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeEXECUTINGSTART, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeEXECUTINGEND, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeFAULT_HANDLINGSTART, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, EQUALS UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeFAULT_HANDLINGEND, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeFAULT_UNCOUGHTSTART, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, EQUALS UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeFAULT_UNCOUGHTEND, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
