sep=,
,ScopeINITAL, ScopeDEAD, ScopeEXECUTING, ScopeCOMPLETED, ScopeTERMINATED, ScopeFAULT_HANDLING, ScopeFAULT_COUGHT, ScopeFAULT_UNCOUGHT, EmptyFHINITAL, EmptyFHDEAD, EmptyFHEXECUTING, EmptyFHCOMPLETED, EmptyFHTERMINATED, EmptyFHFAULT, 
ScopeINITAL, , Meets , Meets , , Meets , , , , Equals , Meets , , Before , Before , Before , 
ScopeDEAD, , , , , , , , , MetBy , Equals , , , , , 
ScopeEXECUTING, , , , Meets , Meets , Meets , , , Finishes , Meets , Meets , Before , Before Meets , Before , 
ScopeCOMPLETED, , , , , , , , , Finishes , Equals , , , , , 
ScopeTERMINATED, , , , , , , , , MetBy , , MetBy , , Equals FinishedBy , , 
ScopeFAULT_HANDLING, , , , , , , Meets , Meets , MetBy , , Equals , Meets , Meets , Meets , 
ScopeFAULT_COUGHT, , , , , , , , , After , , MetBy , Equals , , , 
ScopeFAULT_UNCOUGHT, , , , , , , , , After , , MetBy , , Finishes , Equals , 
EmptyFHINITAL, , , , , , , , , , Meets , Meets , , Meets , , 
EmptyFHDEAD, , , , , , , , , , , , , , , 
EmptyFHEXECUTING, , , , , , , , , , , , Meets , Meets , Meets , 
EmptyFHCOMPLETED, , , , , , , , , , , , , , , 
EmptyFHTERMINATED, , , , , , , , , , , , , , , 
EmptyFHFAULT, , , , , , , , , , , , , , , 
