sep=,
,FlowINITAL_START, FlowDEAD_START, FlowABORTED_START, FlowTERMINATING_START, FlowTERMINATED_START, FlowEXECUTING_START, FlowFAULT_START, FlowCOMPLETED_START, startINITAL_START, startDEAD_START, startABORTED_START, startTERMINATING_START, startTERMINATED_START, startEXECUTING_START, startFAULT_START, startCOMPLETED_START, a1INITAL_START, a1DEAD_START, a1ABORTED_START, a1TERMINATING_START, a1TERMINATED_START, a1EXECUTING_START, a1FAULT_START, a1COMPLETED_START, 
FlowINITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
FlowDEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
FlowABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
FlowTERMINATING_START, >, ||, ||, =, <, >, ||, ||, >, ||, ||, = ||, || <, >, > = || <, > ||, >, ||, ||, = ||, || <, > ||, > = || <, > ||, 
FlowTERMINATED_START, >, ||, ||, >, =, >, ||, ||, >, ||, ||, > ||, > = ||, >, > = || <, > ||, >, ||, ||, > ||, > = ||, > ||, > = || <, > ||, 
FlowEXECUTING_START, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, <, <, <, 
FlowFAULT_START, >, ||, ||, ||, ||, >, =, ||, >, ||, ||, = ||, || <, >, = ||, > ||, >, ||, ||, = ||, || <, > ||, = ||, > ||, 
FlowCOMPLETED_START, >, ||, ||, ||, ||, >, ||, =, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, ||, ||, >, ||, > =, 
startINITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
startDEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
startABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
startTERMINATING_START, >, ||, ||, = ||, < ||, >, = ||, ||, >, ||, ||, =, <, >, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, 
startTERMINATED_START, >, ||, ||, || >, < = ||, >, || >, ||, >, ||, ||, >, =, >, ||, ||, >, ||, ||, ||, ||, ||, ||, ||, 
startEXECUTING_START, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, <, <, <, 
startFAULT_START, >, ||, ||, < = || >, < = || >, >, = ||, ||, >, ||, ||, ||, ||, >, =, ||, >, ||, ||, ||, ||, ||, ||, ||, 
startCOMPLETED_START, >, ||, ||, < ||, < ||, >, < ||, <, >, ||, ||, ||, ||, >, ||, =, >, ||, ||, <, <, =, <, <, 
a1INITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
a1DEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
a1ABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
a1TERMINATING_START, >, ||, ||, = ||, < ||, >, = ||, ||, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, =, <, >, ||, ||, 
a1TERMINATED_START, >, ||, ||, || >, < = ||, >, || >, ||, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, >, =, >, ||, ||, 
a1EXECUTING_START, >, ||, ||, < ||, < ||, >, < ||, <, >, ||, ||, ||, ||, >, ||, =, >, ||, ||, <, <, =, <, <, 
a1FAULT_START, >, ||, ||, < = || >, < = || >, >, = ||, ||, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, ||, ||, >, =, ||, 
a1COMPLETED_START, >, ||, ||, < ||, < ||, >, < ||, < =, >, ||, ||, ||, ||, >, ||, >, >, ||, ||, ||, ||, >, ||, =, 
